Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,latitude,longitude
282,22/03/20,18:00:00,Odisha,0,0,2,20.5937,78.962
283,22/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
284,22/03/20,18:00:00,Punjab,0,1,21,20.5937,78.962
285,22/03/20,18:00:00,Rajasthan,3,0,24,20.5937,78.962
286,22/03/20,18:00:00,Tamil Nadu,1,0,7,20.5937,78.962
287,22/03/20,18:00:00,Telengana,1,0,22,20.5937,78.962
288,22/03/20,18:00:00,Chandigarh,0,0,5,20.5937,78.962
289,22/03/20,18:00:00,Jammu and Kashmir,0,0,4,20.5937,78.962
290,22/03/20,18:00:00,Ladakh,0,0,13,20.5937,78.962
291,22/03/20,18:00:00,Uttar Pradesh,9,0,27,20.5937,78.962
292,22/03/20,18:00:00,Uttarakhand,0,0,3,20.5937,78.962
293,22/03/20,18:00:00,West Bengal,0,0,4,20.5937,78.962
294,23/03/20,18:00:00,Andhra Pradesh,0,0,7,20.5937,78.962
295,23/03/20,18:00:00,Bihar,0,1,2,20.5937,78.962
296,23/03/20,18:00:00,Chhattisgarh,0,0,1,20.5937,78.962
297,23/03/20,18:00:00,Delhi,5,1,29,20.5937,78.962
298,23/03/20,18:00:00,Gujarat,0,1,29,20.5937,78.962
299,23/03/20,18:00:00,Haryana,0,0,26,20.5937,78.962
300,23/03/20,18:00:00,Himachal Pradesh,0,0,2,20.5937,78.962
301,23/03/20,18:00:00,Karnataka,2,1,33,20.5937,78.962
302,23/03/20,18:00:00,Kerala,3,0,67,20.5937,78.962
303,23/03/20,18:00:00,Madhya Pradesh,0,0,6,20.5937,78.962
304,23/03/20,18:00:00,Maharashtra,0,2,74,20.5937,78.962
305,23/03/20,18:00:00,Odisha,0,0,2,20.5937,78.962
306,23/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
307,23/03/20,18:00:00,Punjab,0,1,21,20.5937,78.962
308,23/03/20,18:00:00,Rajasthan,3,0,28,20.5937,78.962
309,23/03/20,18:00:00,Tamil Nadu,1,0,9,20.5937,78.962
310,23/03/20,18:00:00,Telengana,1,0,32,20.5937,78.962
311,23/03/20,18:00:00,Chandigarh,0,0,6,20.5937,78.962
312,23/03/20,18:00:00,Jammu and Kashmir,0,0,4,20.5937,78.962
313,23/03/20,18:00:00,Ladakh,0,0,13,20.5937,78.962
314,23/03/20,18:00:00,Uttar Pradesh,9,0,31,20.5937,78.962
315,23/03/20,18:00:00,Uttarakhand,0,0,3,20.5937,78.962
316,23/03/20,18:00:00,West Bengal,0,0,7,20.5937,78.962
317,24/03/20,18:00:00,Andhra Pradesh,0,0,8,20.5937,78.962
318,24/03/20,18:00:00,Bihar,0,1,3,20.5937,78.962
319,24/03/20,18:00:00,Chhattisgarh,0,0,1,20.5937,78.962
320,24/03/20,18:00:00,Delhi,6,1,30,20.5937,78.962
321,24/03/20,18:00:00,Gujarat,0,1,33,20.5937,78.962
322,24/03/20,18:00:00,Haryana,11,0,28,20.5937,78.962
323,24/03/20,18:00:00,Himachal Pradesh,0,1,3,20.5937,78.962
324,24/03/20,18:00:00,Karnataka,3,1,37,20.5937,78.962
325,24/03/20,18:00:00,Kerala,4,0,95,20.5937,78.962
326,24/03/20,18:00:00,Madhya Pradesh,0,0,7,20.5937,78.962
327,24/03/20,18:00:00,Maharashtra,0,2,89,20.5937,78.962
328,24/03/20,18:00:00,Manipur,0,0,1,20.5937,78.962
329,24/03/20,18:00:00,Odisha,0,0,2,20.5937,78.962
330,24/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
331,24/03/20,18:00:00,Punjab,0,1,29,20.5937,78.962
332,24/03/20,18:00:00,Rajasthan,3,0,32,20.5937,78.962
333,24/03/20,18:00:00,Tamil Nadu,1,0,15,20.5937,78.962
334,24/03/20,18:00:00,Telengana,1,0,35,20.5937,78.962
335,24/03/20,18:00:00,Chandigarh,0,0,7,20.5937,78.962
336,24/03/20,18:00:00,Jammu and Kashmir,0,0,4,20.5937,78.962
337,24/03/20,18:00:00,Ladakh,0,0,13,20.5937,78.962
338,24/03/20,18:00:00,Uttar Pradesh,11,0,33,20.5937,78.962
339,24/03/20,18:00:00,Uttarakhand,0,0,4,20.5937,78.962
340,24/03/20,18:00:00,West Bengal,0,1,9,20.5937,78.962
341,25/03/20,18:00:00,Andhra Pradesh,1,0,9,20.5937,78.962
342,25/03/20,18:00:00,Bihar,0,1,4,20.5937,78.962
343,25/03/20,18:00:00,Chhattisgarh,0,0,1,20.5937,78.962
344,25/03/20,18:00:00,Delhi,6,1,31,20.5937,78.962
345,25/03/20,18:00:00,Gujarat,0,1,38,20.5937,78.962
346,25/03/20,18:00:00,Haryana,11,0,28,20.5937,78.962
347,25/03/20,18:00:00,Himachal Pradesh,0,1,3,20.5937,78.962
348,25/03/20,18:00:00,Karnataka,3,1,41,20.5937,78.962
349,25/03/20,18:00:00,Kerala,4,0,109,20.5937,78.962
350,25/03/20,18:00:00,Madhya Pradesh,0,0,14,20.5937,78.962
351,25/03/20,18:00:00,Maharashtra,1,3,128,20.5937,78.962
352,25/03/20,18:00:00,Manipur,0,0,1,20.5937,78.962
353,25/03/20,18:00:00,Mizoram,0,0,1,20.5937,78.962
354,25/03/20,18:00:00,Odisha,0,0,2,20.5937,78.962
355,25/03/20,18:00:00,Puducherry,0,0,1,20.5937,78.962
356,25/03/20,18:00:00,Punjab,0,1,29,20.5937,78.962
357,25/03/20,18:00:00,Rajasthan,3,0,36,20.5937,78.962
358,25/03/20,18:00:00,Tamil Nadu,1,0,18,20.5937,78.962
359,25/03/20,18:00:00,Telengana,1,0,35,20.5937,78.962
360,25/03/20,18:00:00,Chandigarh,0,0,7,20.5937,78.962
361,25/03/20,18:00:00,Jammu and Kashmir,1,0,7,20.5937,78.962
362,25/03/20,18:00:00,Ladakh,0,0,13,20.5937,78.962
363,25/03/20,18:00:00,Uttar Pradesh,11,0,37,20.5937,78.962
364,25/03/20,18:00:00,Uttarakhand,0,0,4,20.5937,78.962
365,25/03/20,18:00:00,West Bengal,0,1,9,20.5937,78.962
366,26/03/20,18:00:00,Andaman and Nicobar Islands,0,0,1,20.5937,78.962
367,26/03/20,18:00:00,Andhra Pradesh,1,0,11,20.5937,78.962
368,26/03/20,18:00:00,Bihar,0,1,6,20.5937,78.962
369,26/03/20,18:00:00,Chandigarh,0,0,7,20.5937,78.962
370,26/03/20,18:00:00,Chhattisgarh,0,0,6,20.5937,78.962
371,26/03/20,18:00:00,Delhi,6,1,36,20.5937,78.962
372,26/03/20,18:00:00,Goa,0,0,3,20.5937,78.962
373,26/03/20,18:00:00,Gujarat,0,3,43,20.5937,78.962
374,26/03/20,18:00:00,Haryana,11,0,30,20.5937,78.962
375,26/03/20,18:00:00,Himachal Pradesh,0,1,3,20.5937,78.962
376,26/03/20,18:00:00,Jammu and Kashmir,1,0,13,20.5937,78.962
377,26/03/20,18:00:00,Karnataka,3,2,55,20.5937,78.962
